ids,covariate,adjustvars
Young_HSC_1,Young_HSC,1
Young_HSC_2,Young_HSC,1
Young_MPP1_1,Young_MPP1,1
Young_MPP1_2,Young_MPP1,1
Young_MPP2_1,Young_MPP2,1
Young_MPP2_2,Young_MPP2,1
Young_MPP3_1,Young_MPP3,1
Young_MPP3_2,Young_MPP3,1
Young_MPP4_1,Young_MPP4,1
Young_MPP4_2,Young_MPP4,1
Young_GMP_1,Young_GMP,1
Young_GMP_2,Young_GMP,1
Young_MEP_1,Young_MEP,1
Young_MEP_2,Young_MEP,1
Young_CLP_1,Young_CLP,1
Young_CLP_2,Young_CLP,1
Aged_HSC_1,Aged_HSC,1
Aged_HSC_2,Aged_HSC,1
Aged_MPP1_1,Aged_MPP1,1
Aged_MPP1_2,Aged_MPP1,1
Aged_MPP2_1,Aged_MPP2,1
Aged_MPP2_2,Aged_MPP2,1
Aged_MPP3_1,Aged_MPP3,1
Aged_MPP3_2,Aged_MPP3,1
Aged_MPP4_1,Aged_MPP4,1
Aged_MPP4_2,Aged_MPP4,1
Aged_GMP_1,Aged_GMP,1
Aged_GMP_2,Aged_GMP,1
Aged_MEP_1,Aged_MEP,1
Aged_MEP_2,Aged_MEP,1
Aged_CLP_1,Aged_CLP,1
Aged_CLP_2,Aged_CLP,1